"Time_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
         27,        0.02268621,      -6.582072321,      -3.108626045,      -3.528979936,     -0.8490880998,          6383.475,     0.06619239737,       1.085898219,                 0,                 0,                 0,     0.01475071115,     -0.1233774608,       1.080895174,                 0,       16.40518039
         28,        0.02352644,      -6.601243642,      -3.126856358,      -3.546039309,     -0.8648759972,          6383.475,     0.06533030897,       1.095531703,                 0,                 0,                 0,     0.01464094837,     -0.1258992891,       1.090232604,                 0,       16.76911866
         29,        0.02436667,      -6.621032808,      -3.147233607,      -3.566871592,     -0.8834559758,          6383.475,     0.06439162201,       1.104521672,                 0,                 0,                 0,     0.01451643479,     -0.1283848069,       1.098922994,                 0,       17.15318915
         30,         0.0252069,      -6.642247308,      -3.169125546,      -3.590379345,     -0.9043888739,          6383.475,     0.06338809168,       1.112889389,                 0,                 0,                 0,     0.01437633135,     -0.1308261302,       1.106989325,                 0,       17.55675805
         31,        0.02604713,      -6.664639628,      -3.192133828,      -3.615179301,     -0.9270673526,          6383.475,     0.06233451116,       1.120680085,                 0,                 0,                 0,     0.01423390747,     -0.1332165446,        1.11447871,                 0,       17.97848517
         32,        0.02688736,      -6.686918759,      -3.216248258,      -3.640612334,     -0.9511491159,          6383.475,     0.06124554662,       1.127952214,                 0,                 0,                 0,     0.01410498133,     -0.1355517573,       1.121451263,                 0,       18.41688541
         33,        0.02772759,      -6.708116762,      -3.241563862,      -3.666731063,     -0.9765057317,          6383.475,     0.06012960653,       1.134752544,                 0,                 0,                 0,     0.01399589462,     -0.1378316087,         1.1279545,                 0,       18.87177732
         34,        0.02856782,      -6.727615398,      -3.268043202,      -3.693733439,      -1.003020566,          6383.475,      0.0589849416,       1.141095455,                 0,                 0,                 0,     0.01389916826,     -0.1400603185,       1.134002279,                 0,       19.34553844
         35,        0.02940805,      -6.744793241,      -3.295607826,       -3.72174375,      -1.030630103,          6383.475,     0.05780102717,       1.146959705,                 0,                 0,                 0,      0.0137983925,     -0.1422445629,       1.139571853,                 0,       19.84324087
         36,        0.03024828,      -6.758782499,      -3.324307104,      -3.750839185,      -1.059438882,          6383.475,     0.05656452961,       1.152303301,                 0,                 0,                 0,     0.01367795894,     -0.1443901811,       1.144619553,                 0,       20.37148208
         37,        0.03108851,      -6.768621759,      -3.354421801,      -3.781176163,      -1.089830766,          6383.475,     0.05526643643,       1.157086508,                 0,                 0,                 0,     0.01353120583,     -0.1464991484,        1.14910468,                 0,       20.93651378
         38,        0.03192874,      -6.773546543,      -3.386461715,      -3.813159082,      -1.122449544,          6383.475,     0.05390661901,       1.161290343,                 0,                 0,                 0,     0.01336276486,     -0.1485682955,       1.153008519,                 0,       21.54262991
         39,        0.03276897,      -6.773317107,      -3.421061732,      -3.847453787,      -1.158113019,          6383.475,     0.05249397808,       1.164922845,                 0,                 0,                 0,     0.01318500973,     -0.1505902525,       1.156340533,                 0,         22.191552
         40,         0.0336092,      -6.758339145,      -3.456399561,      -3.877381561,      -1.195369954,          6383.475,     0.05104289528,        1.16801181,                 0,                 0,                 0,     0.01301109322,     -0.1525556832,       1.159130591,                 0,       22.88294587
         41,        0.03444943,       -6.74647899,      -3.498427219,      -3.918951056,      -1.239790962,          6383.475,     0.04956789332,       1.170595705,                 0,                 0,                 0,     0.01285132131,     -0.1544569654,       1.161419101,                 0,       23.61600679
         42,        0.03528966,      -6.726284261,      -3.544032606,      -3.963636255,      -1.292573839,          6383.475,     0.04808034156,       1.172708731,                 0,                 0,                 0,     0.01270928735,     -0.1562888409,       1.163241714,                 0,       24.39060732
         43,        0.03612989,       -6.71349174,      -3.600273189,      -4.020720065,      -1.353580537,          6383.475,     0.04658633531,       1.174376698,                 0,                 0,                 0,     0.01258406598,     -0.1580497893,        1.16462491,                 0,       25.20860871
         44,        0.03697012,      -6.696736291,      -3.654646082,       -4.07457431,      -1.409567775,          6383.475,     0.04508772945,       1.175613918,                 0,                 0,                 0,      0.0124717608,     -0.1597404689,       1.165583103,                 0,       26.07392149
         45,        0.03781035,      -6.676410209,       -3.70739858,      -4.126028167,       -1.46855679,          6383.475,     0.04358376962,        1.17643074,                 0,                 0,                 0,     0.01236953649,       -0.16136342,       1.166126356,                 0,       26.99240452
         46,        0.03865058,      -6.657951046,      -3.762907992,      -4.178193067,      -1.535487223,          6383.475,     0.04207383642,       1.176840167,                 0,                 0,                 0,     0.01227765285,     -0.1629215102,       1.166267366,                 0,       27.97083099
         47,        0.03949081,      -6.637505369,      -3.807586252,      -4.216761106,       -1.58355572,          6383.475,     0.04055899634,       1.176857604,                 0,                 0,                 0,     0.01219798668,     -0.1644163642,       1.166021488,                 0,       29.01594492
         48,        0.04033104,      -6.623132713,       -3.84915565,      -4.246321729,      -1.614019649,          6383.475,     0.03904229303,       1.176501923,                 0,                 0,                 0,     0.01213379677,      -0.165848262,       1.165407838,                 0,       30.13403751
         49,        0.04117127,      -6.574986207,       -3.85786364,      -4.239760723,      -1.609105101,          6383.475,     0.03752734193,       1.175787733,                 0,                 0,                 0,     0.01208556017,     -0.1672161798,       1.164441429,                 0,       31.33149518
         50,         0.0420115,      -6.563827376,       -3.85944028,      -4.232728742,      -1.589307108,          6383.475,     0.03601953073,       1.174729387,                 0,                 0,                 0,     0.01205500232,     -0.1685173043,       1.163137334,                 0,       32.61367829
         51,        0.04285173,      -6.547755933,      -3.838597566,      -4.209294114,      -1.555661692,          6383.475,     0.03452310404,       1.173332434,                 0,                 0,                 0,     0.01204002205,     -0.1697484184,       1.161501752,                 0,       33.98687535
         52,        0.04369196,       -6.51413921,      -3.795675615,      -4.162404015,      -1.503267776,          6383.475,     0.03304157064,       1.171599058,                 0,                 0,                 0,     0.01203730806,     -0.1709064465,       1.159537445,                 0,       35.45833433
