"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -1.578701895,      0.3129376826,    -0.07680018321,       3.890702206,          6383.475,      0.8104055307,      0.4370063013,                 0,                 0,                 0,      0.1209675236,      0.7946605536,       0.465022834,                 0,      0.5392439769
          0,           0,           1,      -1.802130284,      0.2275743903,      0.5712182962,        3.67106975,          6383.475,       1.333321678,      0.6377756997,                 0,                 0,                 0,      0.1673578243,       1.310251404,      0.6839194395,                 0,      0.4783359561
          0,           0,           2,      -1.886396468,      0.4268546724,       0.689011674,       3.588884385,          6383.475,       1.450077996,      0.6461650924,                 0,                 0,                 0,      0.1650161267,       1.426643811,      0.6963784583,                 0,      0.4456071289
          0,           0,           3,      -1.836242841,       0.505685452,      0.7056075054,       3.637198945,          6383.475,       1.339759291,      0.5834371864,                 0,                 0,                 0,      0.1426572265,       1.318581481,      0.6298386972,                 0,      0.4354791121
          0,           0,           4,      -1.762698766,       0.608470231,      0.7570859572,       3.711897729,          6383.475,       1.167705584,      0.5126291539,                 0,                 0,                 0,      0.1222222248,        1.14910375,      0.5530692113,                 0,      0.4390054828
          0,           0,           5,      -1.731016816,      0.6744828677,      0.8060156632,       3.741344429,          6383.475,      0.9140661868,      0.4473240183,                 0,                 0,                 0,     0.09548762374,      0.8978979793,      0.4789519704,                 0,      0.4893781487
          0,           0,           6,       -1.70159903,      0.7883537791,      0.8963059579,       3.768911656,          6383.475,      0.7897144277,      0.4197944174,                 0,                 0,                 0,     0.08266633219,      0.7745827412,       0.447099326,                 0,      0.5315774951
          0,           0,           7,      -1.683503112,      0.8409338978,      0.9380487319,       3.782985895,          6383.475,      0.6452951892,      0.4273362268,                 0,                 0,                 0,     0.06611484928,      0.6299882736,      0.4495963825,                 0,      0.6622337094
          0,           0,           8,      -1.669892014,      0.9122938726,      0.9904517764,       3.792014422,          6383.475,      0.5968139346,      0.4414567972,                 0,                 0,                 0,     0.05998133655,      0.5810437517,      0.4620163796,                 0,      0.7396891586
          0,           0,           9,      -1.659853635,      0.9427346384,       1.011186338,       3.796922126,          6383.475,       0.502025769,      0.4788290875,                 0,                 0,                 0,     0.04494639423,      0.4850090543,      0.4960578444,                 0,       0.953793843
          0,           0,          10,      -1.658902326,      0.9737439943,       1.026677512,       3.792188052,          6383.475,      0.4657958512,      0.4988837217,                 0,                 0,                 0,     0.03835249532,      0.4481013101,       0.514835856,                 0,       1.071035134
          0,           0,          11,      -1.650318223,      0.9846404441,        1.02957341,       3.796742374,          6383.475,      0.3589611518,      0.5249205089,                 0,                 0,                 0,     0.01920795634,      0.3404230208,      0.5371283051,                 0,       1.462332362
          0,           0,          12,      -1.641428509,      0.9816795665,       1.012786277,       3.804148913,          6383.475,       0.310095914,      0.5336274089,                 0,                 0,                 0,      0.0103579701,       0.291283684,      0.5441245288,                 0,       1.720846308
